image_id,split,condition,view,d_dark,d_bright,input_clipping_fraction,type,active
39405,evaluation,homogeneous_dark,bottom_right,0.03964591026306152,0.00405256450176239,0.0020344287622720003,dark,True
39405,evaluation,homogeneous_bright,full,0.0024083852767944336,0.016694054007530212,0.0036800666712224483,bright,False
39405,evaluation,homogeneous_bright,top_left,0.013210266828536987,0.01752758026123047,0.008098592050373554,bright,False
39405,evaluation,homogeneous_bright,top_right,0.005136460065841675,0.024051547050476074,0.003080985974520445,bright,False
39405,evaluation,homogeneous_bright,bottom_left,0.0004888176918029785,0.006648123264312744,0.001428012503311038,bright,False
39405,evaluation,homogeneous_bright,bottom_right,0.01736178994178772,0.011312201619148254,0.0021126761566847563,dark,False
39405,evaluation,left_right,full,0.005946889519691467,0.004605516791343689,0.0017214397666975856,dark,False
39405,evaluation,left_right,top_left,0.04717762768268585,0.009276002645492554,0.0003227699489798397,dark,True
39405,evaluation,left_right,top_right,0.005136460065841675,0.024051547050476074,0.003080985974520445,bright,False
39405,evaluation,left_right,bottom_left,0.025627732276916504,0.0034690946340560913,0.0013693270739167929,dark,False
39405,evaluation,left_right,bottom_right,0.01736178994178772,0.011312201619148254,0.0021126761566847563,dark,False
39405,evaluation,quadrants,full,0.0008389502763748169,0.012483581900596619,0.0017165493918582797,bright,False
39405,evaluation,quadrants,top_left,0.04717762768268585,0.009276002645492554,0.0003227699489798397,dark,True
39405,evaluation,quadrants,top_right,0.005136460065841675,0.024051547050476074,0.003080985974520445,bright,False
39405,evaluation,quadrants,bottom_left,0.0004888176918029785,0.006648123264312744,0.001428012503311038,bright,False
39405,evaluation,quadrants,bottom_right,0.03964591026306152,0.00405256450176239,0.0020344287622720003,dark,True
39405,evaluation,smooth_gradient,full,0.01587173342704773,0.011871621012687683,0.0010294405510649085,dark,False
39405,evaluation,smooth_gradient,top_left,0.042921364307403564,0.011950328946113586,0.0003227699489798397,dark,True
39405,evaluation,smooth_gradient,top_right,0.010878488421440125,0.021256357431411743,0.0003912363317795098,bright,False
39405,evaluation,smooth_gradient,bottom_left,0.014825373888015747,0.006021752953529358,0.0013693270739167929,dark,False
39405,evaluation,smooth_gradient,bottom_right,0.022858425974845886,0.008158907294273376,0.0020344287622720003,dark,False
40036,evaluation,clean,full,-0.02688060700893402,-0.006174251437187195,0.0025987299159169197,bright,False
40036,evaluation,clean,top_left,-0.002711087465286255,0.007206663489341736,0.0007758019492030144,bright,False
40036,evaluation,clean,top_right,-0.024312138557434082,0.017466992139816284,0.0046440972946584225,bright,False
40036,evaluation,clean,bottom_left,-0.011804401874542236,-0.009430691599845886,0.0016823569312691689,bright,False
40036,evaluation,clean,bottom_right,-0.031075075268745422,0.0016575455665588379,0.0032812501303851604,bright,False
40036,evaluation,homogeneous_dark,full,0.005205333232879639,-0.002810269594192505,0.0006263047689571977,dark,False
40036,evaluation,homogeneous_dark,top_left,0.03320293128490448,-0.002005279064178467,0.00019177126523572952,dark,True
40036,evaluation,homogeneous_dark,top_right,-0.005650341510772705,0.023284897208213806,0.0016927083488553762,bright,False
40036,evaluation,homogeneous_dark,bottom_left,0.020016729831695557,-0.0191495418548584,0.00022663876006845385,dark,False
40036,evaluation,homogeneous_dark,bottom_right,0.004743337631225586,-0.00016142427921295166,0.0003906250058207661,dark,False
