image_id,condition,method_a,method_b,mse_a_minus_b
885,left_right,global_direct,spatial2_ttt,-0.001409042626619339
885,left_right,spatial2_direct,global_discrete,-0.05213790014386177
885,left_right,spatial2_direct,spatial2_discrete,0.0001710653305053711
885,left_right,spatial2_direct,global_ttt,-0.02616165205836296
885,left_right,spatial2_direct,spatial2_ttt,-0.009144864976406097
885,left_right,global_discrete,spatial2_discrete,0.05230896547436714
885,left_right,global_discrete,global_ttt,0.02597624808549881
885,left_right,global_discrete,spatial2_ttt,0.04299303516745567
885,left_right,spatial2_discrete,global_ttt,-0.026332717388868332
885,left_right,spatial2_discrete,spatial2_ttt,-0.009315930306911469
885,left_right,global_ttt,spatial2_ttt,0.017016787081956863
885,quadrants,identity,global_direct,-0.013817742466926575
885,quadrants,identity,spatial2_direct,0.0022664889693260193
885,quadrants,identity,global_discrete,-0.05249282717704773
885,quadrants,identity,spatial2_discrete,-0.04844393581151962
885,quadrants,identity,global_ttt,-0.02965770661830902
885,quadrants,identity,spatial2_ttt,-0.01689145714044571
885,quadrants,global_direct,spatial2_direct,0.016084231436252594
885,quadrants,global_direct,global_discrete,-0.038675084710121155
885,quadrants,global_direct,spatial2_discrete,-0.03462619334459305
885,quadrants,global_direct,global_ttt,-0.015839964151382446
885,quadrants,global_direct,spatial2_ttt,-0.0030737146735191345
885,quadrants,spatial2_direct,global_discrete,-0.05475931614637375
885,quadrants,spatial2_direct,spatial2_discrete,-0.05071042478084564
885,quadrants,spatial2_direct,global_ttt,-0.03192419558763504
885,quadrants,spatial2_direct,spatial2_ttt,-0.01915794610977173
885,quadrants,global_discrete,spatial2_discrete,0.004048891365528107
885,quadrants,global_discrete,global_ttt,0.02283512055873871
885,quadrants,global_discrete,spatial2_ttt,0.03560137003660202
885,quadrants,spatial2_discrete,global_ttt,0.018786229193210602
885,quadrants,spatial2_discrete,spatial2_ttt,0.031552478671073914
885,quadrants,global_ttt,spatial2_ttt,0.012766249477863312
885,smooth_gradient,identity,global_direct,0.0
885,smooth_gradient,identity,spatial2_direct,0.0
885,smooth_gradient,identity,global_discrete,0.0
885,smooth_gradient,identity,spatial2_discrete,0.0
885,smooth_gradient,identity,global_ttt,0.0
885,smooth_gradient,identity,spatial2_ttt,0.0
885,smooth_gradient,global_direct,spatial2_direct,0.0
885,smooth_gradient,global_direct,global_discrete,0.0
885,smooth_gradient,global_direct,spatial2_discrete,0.0
885,smooth_gradient,global_direct,global_ttt,0.0
885,smooth_gradient,global_direct,spatial2_ttt,0.0
885,smooth_gradient,spatial2_direct,global_discrete,0.0
885,smooth_gradient,spatial2_direct,spatial2_discrete,0.0
885,smooth_gradient,spatial2_direct,global_ttt,0.0
885,smooth_gradient,spatial2_direct,spatial2_ttt,0.0
885,smooth_gradient,global_discrete,spatial2_discrete,0.0
885,smooth_gradient,global_discrete,global_ttt,0.0
885,smooth_gradient,global_discrete,spatial2_ttt,0.0
885,smooth_gradient,spatial2_discrete,global_ttt,0.0
885,smooth_gradient,spatial2_discrete,spatial2_ttt,0.0
885,smooth_gradient,global_ttt,spatial2_ttt,0.0
1000,clean,identity,global_direct,0.0
1000,clean,identity,spatial2_direct,0.0
1000,clean,identity,global_discrete,0.0
1000,clean,identity,spatial2_discrete,0.0
1000,clean,identity,global_ttt,0.0
1000,clean,identity,spatial2_ttt,0.0
1000,clean,global_direct,spatial2_direct,0.0
1000,clean,global_direct,global_discrete,0.0
1000,clean,global_direct,spatial2_discrete,0.0
1000,clean,global_direct,global_ttt,0.0
1000,clean,global_direct,spatial2_ttt,0.0
